site;province;city;district;village
Taman Sansat;Kalimantan Barat;Sanggau;Toba;Sansat
Taman Santaban;Kalimantan Barat;Sambas;Sajingan Besar;Santaban
Taman Santan Ilir;Kalimantan Timur;Kutai Kartanegara;Marang Kayu;Santan Ilir
Taman Santan Tengah;Kalimantan Timur;Kutai Kartanegara;Marang Kayu;Santan Tengah
Taman Santan Ulu;Kalimantan Timur;Kutai Kartanegara;Marang Kayu;Santan Ulu
Taman Santilik;Kalimantan Tengah;Kotawaringin Timur;Mentaya Hulu;Santilik
Taman Santuun;Kalimantan Selatan;Tabalong;Muara Uya;Santuun
Taman Sape;Kalimantan Barat;Sanggau;Jangkang;Sape
Taman Sarai;Kalimantan Barat;Sintang;Sungai Tebelian;Sarai
Taman Sarang Burung Danau;Kalimantan Barat;Sambas;Jawai;Sarang Burung Danau
Taman Sarang Burung Kolam;Kalimantan Barat;Sambas;Jawai;Sarang Burung Kolam
Taman Sarang Burung Kuala;Kalimantan Barat;Sambas;Jawai;Sarang Burung Kuala
Taman Sarang Burung Usrat;Kalimantan Barat;Sambas;Jawai;Sarang Burung Usrat
Taman Sarapat;Kalimantan Tengah;Barito Timur;Dusun Timur;Sarapat
Taman Sare Rangan;Kalimantan Tengah;Gunung Mas;Tewah;Sare Rangan
Taman Sari Harapan;Kalimantan Tengah;Kotawaringin Timur;Parenggean;Sari Harapan
Taman Sari Laba A;Kalimantan Barat;Sambas;Jawai Selatan;Sari Laba A
Taman Sari Laba B;Kalimantan Barat;Sambas;Jawai Selatan;Sari Laba B
Taman Sari Makmur;Kalimantan Barat;Sambas;Tekarang;Sari Makmur
Taman Sari Nadi;Kalimantan Timur;Kutai Kartanegara;Kota Bangun;Sari Nadi
Taman Sarimbuah;Kalimantan Tengah;Barito Selatan;Gunung Bintang Awai;Sarimbuah
Taman Saruhung;Kalimantan Tengah;Murung Raya;Tanah Siang;Saruhung
Taman Sasan;Kalimantan Barat;Kapuas Hulu;Pengkadan;Sasan
Taman Satai Lestari;Kalimantan Barat;Kayong Utara;Pulau Maya;Satai Lestari
Taman Satiung;Kalimantan Tengah;Kotawaringin Timur;Mentaya Hulu;Satiung
Taman Saujung Giling Manik;Kalimantan Barat;Kapuas Hulu;Embaloh Hulu;Saujung Giling Manik
Taman Sawang Senghiang;Kalimantan Barat;Sintang;Serawai;Sawang Senghiang
Taman Sawit Jaya;Kalimantan Timur;Paser;Long Ikis;Sawit Jaya
Taman Sayan Jaya;Kalimantan Barat;Melawi;Sayan;Sayan Jaya
Taman Sayang Sedayu;Kalimantan Barat;Sambas;Teluk Keramat;Sayang Sedayu
Taman Sayut;Kalimantan Barat;Kapuas Hulu;Putussibau Selatan;Sayut
Taman Sebabas;Kalimantan Barat;Sekadau;Nanga Mahap;Sebabas
Taman Sebabi;Kalimantan Tengah;Seruyan;Batu Ampar;Sebabi
Taman Sebadak Raya;Kalimantan Barat;Ketapang;Nanga Tayap;Sebadak Raya
Taman Sebadak;Kalimantan Barat;Sintang;Ketungau Hulu;Sebadak
Taman Sebadu;Kalimantan Barat;Landak;Mandor;Sebadu
Taman Sebagu;Kalimantan Barat;Sambas;Teluk Keramat;Sebagu
Taman Sebakung Jaya;Kalimantan Timur;Penajam Paser Utara;Babulu;Sebakung Jaya
Taman Sebakung Makmur;Kalimantan Timur;Paser;Long Kali;Sebakung Makmur
Taman Sebakung Taka;Kalimantan Timur;Paser;Long Kali;Sebakung Taka
Taman Sebakung;Kalimantan Timur;Paser;Long Kali;Sebakung
Taman Sebandut;Kalimantan Barat;Bengkayang;Capkala;Sebandut
Taman Sebangki;Kalimantan Barat;Landak;Sebangki;Sebangki
Taman Sebangun;Kalimantan Barat;Sambas;Sebawi;Sebangun
Taman Sebara;Kalimantan Barat;Sanggau;Parindu;Sebara
Taman Sebatih;Kalimantan Barat;Landak;Sengah Temila;Sebatih
Taman Sebatuan;Kalimantan Barat;Sambas;Pemangkat;Sebatuan
Taman Sebawi;Kalimantan Barat;Sambas;Sebawi;Sebawi
Taman Sebayan;Kalimantan Barat;Sambas;Sambas;Sebayan
Taman Sebelang;Kalimantan Timur;Kutai Barat;Muara Pahu;Sebelang
Taman Sebelimbingan;Kalimantan Timur;Kutai Kartanegara;Kota Bangun;Sebelimbingan
Taman Sebemban;Kalimantan Timur;Kutai Kartanegara;Muara Wis;Sebemban
Taman Sebemban;Kalimantan Barat;Sanggau;Tayan Hilir;Sebemban
Taman Sebente;Kalimantan Barat;Bengkayang;Teriak;Sebente
Taman Seberang Kapuas;Kalimantan Barat;Sekadau;Sekadau Hilir;Seberang Kapuas
Taman Seberkat;Kalimantan Barat;Sambas;Tebas;Seberkat
Taman Seberu;Kalimantan Barat;Kapuas Hulu;Silat Hilir;Seberu
Taman Sebetung Menyala;Kalimantan Barat;Bengkayang;Teriak;Sebetung Menyala
Taman Sebetung Paluk;Kalimantan Barat;Sintang;Ketungau Hulu;Sebetung Paluk
Taman Sebetung;Kalimantan Barat;Sekadau;Belitang Hulu;Sebetung
Taman Sebindang;Kalimantan Barat;Kapuas Hulu;Badau;Sebindang
Taman Sebirang;Kalimantan Barat;Landak;Ngabang;Sebirang
Taman Sebongkuh;Kalimantan Barat;Sanggau;Kembayan;Sebongkuh
Taman Sebuduh;Kalimantan Barat;Sanggau;Kembayan;Sebuduh
Taman Sebulu Ilir;Kalimantan Timur;Kutai Kartanegara;Sebulu;Sebulu Ilir
Taman Sebulu Moderen;Kalimantan Timur;Kutai Kartanegara;Sebulu;Sebulu Moderen
Taman Sebulu Ulu;Kalimantan Timur;Kutai Kartanegara;Sebulu;Sebulu Ulu
Taman Sebuluh;Kalimantan Barat;Sintang;Ketungau Hulu;Sebuluh
Taman Sebunga;Kalimantan Barat;Sambas;Sajingan Besar;Sebunga
Taman Sebungsu;Kalimantan Tengah;Kotawaringin Timur;Tualan Hulu;Sebungsu
Taman Sebuntal;Kalimantan Timur;Kutai Kartanegara;Marang Kayu;Sebuntal
Taman Seburing;Kalimantan Barat;Sambas;Semparuk;Seburing
Taman Seburuk Satu;Kalimantan Barat;Sekadau;Belitang Hulu;Seburuk Satu
Taman Sedahan Jaya;Kalimantan Barat;Kayong Utara;Sukadana;Sedahan Jaya
Taman Sedulang;Kalimantan Timur;Kutai Kartanegara;Kota Bangun;Sedulang
Taman Sedulang;Kalimantan Timur;Kutai Kartanegara;Muara Kaman;Sedulang
Taman Segar Wangi;Kalimantan Barat;Ketapang;Tumbang Titi;Segar Wangi
Taman Segarau Parit;Kalimantan Barat;Sambas;Tebas;Segarau Parit
Taman Segedong;Kalimantan Barat;Sambas;Tebas;Segedong
Taman Segendang;Kalimantan Timur;Paser;Batu Engau;Segendang
Taman Segiam;Kalimantan Barat;Kapuas Hulu;Kalis;Segiam
Taman Segihan;Kalimantan Timur;Kutai Kartanegara;Sebulu;Segihan
Taman Segitak;Kalimantan Barat;Kapuas Hulu;Bunut Hulu;Segitak
Taman Segoy Makmur;Kalimantan Timur;Kutai Timur;Long Mesangat;Segoy Makmur
Taman Sehe Lusur;Kalimantan Barat;Landak;Kuala Behe;Sehe Lusur
Taman Sei Antai;Kalimantan Tengah;Gunung Mas;Rungan Hulu;Sei Antai
Taman Sei Hanyo;Kalimantan Tengah;Kapuas;Kapuas Hulu;Sei Hanyo
Taman Sei Liju;Kalimantan Tengah;Barito Utara;Teweh Timur;Sei Liju
Taman Sei Nanjan;Kalimantan Tengah;Katingan;Katingan Hulu;Sei Nanjan
Taman Sei Paken;Kalimantan Tengah;Barito Selatan;Gunung Bintang Awai;Sei Paken
Taman Sei Pinang;Kalimantan Tengah;Kapuas;Mandau Talawang;Sei Pinang
Taman Sei Pumpung;Kalimantan Selatan;Balangan;Awayan;Sei Pumpung
Taman Sei Rahayu I;Kalimantan Tengah;Barito Utara;Teweh Tengah;Sei Rahayu I
Taman Sei Rahayu II;Kalimantan Tengah;Barito Utara;Teweh Tengah;Sei Rahayu II
Taman Sei Riang;Kalimantan Tengah;Gunung Mas;Tewah;Sei Riang
Taman Sei Ringin;Kalimantan Tengah;Kapuas;Pasak Talawang;Sei Ringin
Taman Sejahtera Mandiri;Kalimantan Barat;Kapuas Hulu;Hulu Gurung;Sejahtera Mandiri
Taman Sejahtera;Kalimantan Barat;Kayong Utara;Sukadana;Sejahtera
Taman Sejawak;Kalimantan Barat;Sintang;Ketungau Hulu;Sejawak
Taman Sejegi;Kalimantan Barat;Mempawah;Mempawah Timur;Sejegi
Taman Sejiram;Kalimantan Barat;Kapuas Hulu;Seberuang;Sejiram
Taman Sejiram;Kalimantan Barat;Sambas;Tebas;Sejiram
Taman Sejotang;Kalimantan Barat;Sanggau;Tayan Hilir;Sejotang
Taman Sejowet;Kalimantan Barat;Landak;Kuala Behe;Sejowet
Taman Sejuah;Kalimantan Barat;Sanggau;Kembayan;Sejuah
Taman Sekabuk;Kalimantan Barat;Mempawah;Sadaniang;Sekabuk
Taman Sekaih;Kalimantan Barat;Sintang;Ketungau Hulu;Sekaih
Taman Sekais;Kalimantan Barat;Landak;Jelimpo;Sekais
Taman Sekaruh;Kalimantan Barat;Bengkayang;Teriak;Sekaruh
Taman Sekedau;Kalimantan Barat;Kapuas Hulu;Semitau;Sekedau
Taman Sekendal;Kalimantan Barat;Landak;Air Besar;Sekendal
Taman Sekerat;Kalimantan Timur;Kutai Timur;Bengalon;Sekerat
Taman Sekida;Kalimantan Barat;Bengkayang;Jagoi Babang;Sekida
Taman Sekilap;Kalimantan Barat;Landak;Mandor;Sekilap
Taman Sekoban;Kalimantan Tengah;Lamandau;Lamandau;Sekoban
Taman Sekolaq Darat;Kalimantan Timur;Kutai Barat;Sekolaq Darat;Sekolaq Darat
Taman Sekolaq Joleq;Kalimantan Timur;Kutai Barat;Sekolaq Darat;Sekolaq Joleq
Taman Sekolaq Muliaq;Kalimantan Timur;Kutai Barat;Sekolaq Darat;Sekolaq Muliaq
Taman Sekolaq Oday;Kalimantan Timur;Kutai Barat;Sekolaq Darat;Sekolaq Oday
Taman Sekombulan;Kalimantan Tengah;Lamandau;Delang;Sekombulan
Taman Sekonau;Kalimantan Barat;Sekadau;Sekadau Hulu;Sekonau
Taman Sekuan Makmur;Kalimantan Timur;Paser;Muara Komam;Sekuan Makmur
Taman Sekubah;Kalimantan Barat;Kapuas Hulu;Selimbau;Sekubah
Taman Sekubang;Kalimantan Barat;Sintang;Sepauk;Sekubang
Taman Sekucing Kualan;Kalimantan Barat;Ketapang;Simpang Hulu;Sekucing Kualan
Taman Sekucing Labai;Kalimantan Barat;Ketapang;Simpang Hulu;Sekucing Labai
Taman Sekuduk;Kalimantan Barat;Sambas;Sejangkung;Sekuduk
Taman Sekujam Timbai;Kalimantan Barat;Sintang;Sepauk;Sekujam Timbai
Taman Sekukun;Kalimantan Barat;Ketapang;Hulu Sungai;Sekukun
Taman Sekulat;Kalimantan Barat;Kapuas Hulu;Selimbau;Sekulat
Taman Sekuningan Baru;Kalimantan Tengah;Sukamara;Balai Riam;Sekuningan Baru
Taman Sekura;Kalimantan Barat;Sambas;Teluk Keramat;Sekura
Taman Sekurou Jaya;Kalimantan Timur;Paser;Long Ikis;Sekurou Jaya
Taman Selakau Tua;Kalimantan Barat;Sambas;Selakau Timur;Selakau Tua
Taman Selalong;Kalimantan Barat;Sekadau;Sekadau Hilir;Selalong
Taman Selampung;Kalimantan Barat;Sanggau;Jangkang;Selampung
Taman Selange;Kalimantan Barat;Landak;Meranti;Selange
Taman Selangkai;Kalimantan Barat;Kapuas Hulu;Silat Hulu;Selangkai
Taman Selangkau;Kalimantan Timur;Kutai Timur;Kaliorang;Selangkau
Taman Selangkut Raya;Kalimantan Barat;Ketapang;Sungai Laur;Selangkut Raya
Taman Selat Remis;Kalimantan Barat;Kubu Raya;Teluk Pakedai;Selat Remis
Taman Selaup;Kalimantan Barat;Kapuas Hulu;Bunut Hulu;Selaup
Taman Selengot;Kalimantan Timur;Paser;Tanjung Harapan;Selengot
Taman Selerong;Kalimantan Timur;Paser;Muara Komam;Selerong
Taman Selerong;Kalimantan Timur;Kutai Kartanegara;Sebulu;Selerong
Taman Seles;Kalimantan Barat;Bengkayang;Ledo;Seles
Taman Selimu;Kalimantan Barat;Kapuas Hulu;Silat Hulu;Selimu
Taman Seluan;Kalimantan Barat;Kapuas Hulu;Putussibau Utara;Seluan
Taman Seluas;Kalimantan Barat;Bengkayang;Seluas;Seluas
Taman Selucing;Kalimantan Tengah;Kotawaringin Timur;Cempaga Hulu;Selucing
Taman Selutung;Kalimantan Barat;Landak;Mandor;Selutung
Taman Semabi;Kalimantan Barat;Sekadau;Sekadau Hilir;Semabi
Taman Semade;Kalimantan Barat;Landak;Banyuke Hulu;Semade
Taman Semadin Lengkong;Kalimantan Barat;Melawi;Nanga Pinoh;Semadin Lengkong
Taman Semadu;Kalimantan Barat;Sekadau;Belitang Hilir;Semadu
Taman Semajau Mekar;Kalimantan Barat;Sintang;Ketungau Hilir;Semajau Mekar
Taman Semalah;Kalimantan Barat;Kapuas Hulu;Selimbau;Semalah
Taman Semandang Hulu;Kalimantan Barat;Ketapang;Simpang Hulu;Semandang Hulu
Taman Semandang Kanan;Kalimantan Barat;Ketapang;Simpang Dua;Semandang Kanan
Taman Semandang Kiri;Kalimantan Barat;Ketapang;Simpang Hulu;Semandang Kiri
Taman Semangat;Kalimantan Barat;Bengkayang;Ledo;Semangat
Taman Semangau;Kalimantan Barat;Sambas;Sambas;Semangau
Taman Semanget;Kalimantan Barat;Sanggau;Entikong;Semanget
Taman Semangga;Kalimantan Barat;Sambas;Sejangkung;Semangga
Taman Semanggis Raya;Kalimantan Barat;Sanggau;Mukok;Semanggis Raya
Taman Semangko;Kalimantan Timur;Kutai Kartanegara;Marang Kayu;Semangko
Taman Semangut Utara;Kalimantan Barat;Kapuas Hulu;Bunut Hulu;Semangut Utara
Taman Semantun;Kalimantan Barat;Ketapang;Jelai Hulu;Semantun
Taman Semantun;Kalimantan Tengah;Sukamara;Permata Kecubung;Semantun
Taman Semareh;Kalimantan Barat;Sintang;Ketungau Tengah;Semareh
Taman Semata;Kalimantan Barat;Sambas;Tangaran;Semata
Taman Semayang;Kalimantan Barat;Sanggau;Kembayan;Semayang
Taman Semayang;Kalimantan Timur;Kutai Kartanegara;Kenohan;Semayang
Taman Semayok Baru;Kalimantan Barat;Ketapang;Pemahan;Semayok Baru
Taman Sember Bangun;Kalimantan Timur;Kutai Barat;Sekolaq Darat;Sember Bangun
Taman Sembikuan;Kalimantan Tengah;Sukamara;Permata Kecubung;Sembikuan
Taman Sembuan;Kalimantan Timur;Kutai Barat;Nyuatan;Sembuan
Taman Semedang;Kalimantan Barat;Landak;Kuala Behe;Semedang
Taman Semelagi Besar;Kalimantan Barat;Sambas;Selakau;Semelagi Besar
Taman Semenok;Kalimantan Barat;Landak;Mandor;Semenok
Taman Semerangkai;Kalimantan Barat;Sanggau;Kapuas;Semerangkai
Taman Semerantau;Kalimantan Barat;Kapuas Hulu;Kalis;Semerantau
Taman Semirau;Kalimantan Barat;Sanggau;Jangkang;Semirau
Taman Semitau Hilir;Kalimantan Barat;Kapuas Hulu;Semitau;Semitau Hilir
Taman Semitau Hulu;Kalimantan Barat;Kapuas Hulu;Semitau;Semitau Hulu
Taman Semoi Dua;Kalimantan Timur;Penajam Paser Utara;Sepaku;Semoi Dua
Taman Semombat;Kalimantan Barat;Sanggau;Jangkang;Semombat
Taman Semoncol;Kalimantan Barat;Sanggau;Balai;Semoncol
Taman Semongan;Kalimantan Barat;Sanggau;Noyan;Semongan
Taman Sempadian;Kalimantan Barat;Sambas;Tekarang;Sempadian
Taman Sempalai Sebedang;Kalimantan Barat;Sambas;Sebawi;Sempalai Sebedang
Taman Sempalai;Kalimantan Barat;Sambas;Tebas;Sempalai
Taman Semparong Parit Raden;Kalimantan Barat;Mempawah;Sungai Kunyit;Semparong Parit Raden
Taman Semparuk;Kalimantan Barat;Sambas;Semparuk;Semparuk
Taman Sempatn;Kalimantan Timur;Kutai Barat;Damai;Sempatn
Taman Sempatung Lawek;Kalimantan Barat;Landak;Air Besar;Sempatung Lawek
Taman Semperiuk A;Kalimantan Barat;Sambas;Jawai Selatan;Semperiuk A
Taman Semperiuk B;Kalimantan Barat;Sambas;Jawai Selatan;Semperiuk B
Taman Sempulang;Kalimantan Timur;Paser;Tanah Grogot;Sempulang
Taman Sempurna;Kalimantan Barat;Sambas;Subah;Sempurna
Taman Sempurna;Kalimantan Barat;Ketapang;Sungai Laur;Sempurna
Taman Semudun;Kalimantan Barat;Mempawah;Sungai Kunyit;Semudun
Taman Semuntai;Kalimantan Barat;Sintang;Ketungau Hilir;Semuntai
Taman Semuntai;Kalimantan Barat;Sanggau;Mukok;Semuntai
Taman Semuntai;Kalimantan Barat;Sintang;Sepauk;Semuntai
Taman Semuntik;Kalimantan Barat;Landak;Air Besar;Semuntik
Taman Semuntik;Kalimantan Barat;Kapuas Hulu;Badau;Semuntik
Taman Semunying Jaya;Kalimantan Barat;Bengkayang;Jagoi Babang;Semunying Jaya
Taman Senaken;Kalimantan Timur;Paser;Tanah Grogot;Senaken
Taman Senakin;Kalimantan Barat;Landak;Sengah Temila;Senakin
Taman Senambah;Kalimantan Timur;Kutai Timur;Muara Bengkal;Senambah
Taman Senangak;Kalimantan Barat;Sekadau;Nanga Taman;Senangak
Taman Senangan Jaya;Kalimantan Barat;Sintang;Ketungau Tengah;Senangan Jaya
Taman Senangan Kecil;Kalimantan Barat;Sintang;Ketungau Tengah;Senangan Kecil
Taman Senaning;Kalimantan Barat;Sintang;Ketungau Hulu;Senaning
Taman Senatab;Kalimantan Barat;Sambas;Sajingan Besar;Senatab
Taman Sendawar;Kalimantan Timur;Kutai Barat;Barong Tongkok;Sendawar
Taman Sendoreng;Kalimantan Barat;Bengkayang;Monterado;Sendoreng
Taman Sendoyan;Kalimantan Barat;Sambas;Sejangkung;Sendoyan
Taman Senduruhan;Kalimantan Barat;Ketapang;Hulu Sungai;Senduruhan
Taman Seneban;Kalimantan Barat;Kapuas Hulu;Seberuang;Seneban
Taman Senempak;Kalimantan Barat;Melawi;Pinoh Selatan;Senempak
Taman Sengawang;Kalimantan Barat;Sambas;Teluk Keramat;Sengawang
Taman Sengayam;Kalimantan Selatan;Kotabaru;Pamukan Barat;Sengayam
Taman Sengkaharak;Kalimantan Barat;Ketapang;Tumbang Titi;Sengkaharak
Taman Sengkubang;Kalimantan Barat;Mempawah;Mempawah Hilir;Sengkubang
Taman Senibung;Kalimantan Barat;Sintang;Ketungau Hilir;Senibung
Taman Senibung;Kalimantan Barat;Melawi;Pinoh Utara;Senibung
Taman Senipah;Kalimantan Timur;Paser;Tanjung Harapan;Senipah
Taman Seniung Jaya;Kalimantan Timur;Paser;Paser Belengkong;Seniung Jaya
Taman Senoni;Kalimantan Timur;Kutai Kartanegara;Sebulu;Senoni
Taman Sentabai;Kalimantan Barat;Kapuas Hulu;Silat Hilir;Sentabai
Taman Sentalar;Kalimantan Timur;Kutai Barat;Nyuatan;Sentalar
Taman Sentebang;Kalimantan Barat;Sambas;Jawai;Sentebang
Taman Senujuh;Kalimantan Barat;Sambas;Sejangkung;Senujuh
Taman Senyabang;Kalimantan Barat;Sanggau;Balai;Senyabang
Taman Senyiur;Kalimantan Timur;Kutai Timur;Muara Ancalong;Senyiur
Taman Sepadu;Kalimantan Barat;Sambas;Semparuk;Sepadu
Taman Sepadu;Kalimantan Barat;Sambas;Teluk Keramat;Sepadu
Taman Sepahat;Kalimantan Barat;Landak;Menjalin;Sepahat
Taman Sepakat Baru;Kalimantan Barat;Kubu Raya;Kubu;Sepakat Baru
Taman Sepakat Jaya;Kalimantan Barat;Ketapang;Nanga Tayap;Sepakat Jaya
Taman Sepakat;Kalimantan Timur;Kutai Kartanegara;Loa Kulu;Sepakat
Taman Sepakat;Kalimantan Barat;Melawi;Sokan;Sepakat
Taman Sepan Lebang;Kalimantan Barat;Sintang;Kelam Permai;Sepan Lebang
Taman Sepan Tonak;Kalimantan Barat;Melawi;Belimbing;Sepan Tonak
Taman Sepandan;Kalimantan Barat;Kapuas Hulu;Batang Lupar;Sepandan
Taman Sepang Kota;Kalimantan Tengah;Gunung Mas;Sepang;Sepang Kota
Taman Sepang;Kalimantan Barat;Mempawah;Toho;Sepang
Taman Sepangah;Kalimantan Barat;Landak;Air Besar;Sepangah
Taman Sepantai;Kalimantan Barat;Sambas;Sejangkung;Sepantai
Taman Separi;Kalimantan Timur;Kutai Kartanegara;Tenggarong Seberang;Separi
Taman Sepaso Barat;Kalimantan Timur;Kutai Timur;Bengalon;Sepaso Barat
Taman Sepaso Selatan;Kalimantan Timur;Kutai Timur;Bengalon;Sepaso Selatan
Taman Sepaso Timur;Kalimantan Timur;Kutai Timur;Bengalon;Sepaso Timur
Taman Sepaso;Kalimantan Timur;Kutai Timur;Bengalon;Sepaso
Taman Sepatin;Kalimantan Timur;Kutai Kartanegara;Anggana;Sepatin
Taman Sepauhan Raya;Kalimantan Barat;Ketapang;Tumbang Titi;Sepauhan Raya
Taman Sepiluk;Kalimantan Barat;Sintang;Ketungau Hulu;Sepiluk
Taman Sepinggan;Kalimantan Barat;Sambas;Semparuk;Sepinggan
Taman Sepondam;Kalimantan Tengah;Lamandau;Bulik Timur;Sepondam
Taman Seponti Jaya;Kalimantan Barat;Kayong Utara;Seponti;Seponti Jaya
Taman Sepotong;Kalimantan Barat;Ketapang;Sungai Laur;Sepotong
Taman Sepoyu;Kalimantan Tengah;Lamandau;Delang;Sepoyu
Taman Sepuk Laut;Kalimantan Barat;Kubu Raya;Sungai Kakap;Sepuk Laut
Taman Sepuk Tanjung;Kalimantan Barat;Sambas;Sebawi;Sepuk Tanjung
Taman Sepulut;Kalimantan Barat;Sintang;Sepauk;Sepulut
Taman Sepundu Hantu;Kalimantan Tengah;Seruyan;Seruyan Hulu;Sepundu Hantu
Taman Sepuring Indah;Kalimantan Barat;Ketapang;Tumbang Titi;Sepuring Indah
Taman Seradang;Kalimantan Selatan;Tabalong;Haruai;Seradang
Taman Serambai Jaya;Kalimantan Barat;Sanggau;Mukok;Serambai Jaya
Taman Seranggam;Kalimantan Barat;Sambas;Selakau Timur;Seranggam
Taman Serangkat;Kalimantan Barat;Bengkayang;Ledo;Serangkat
Taman Seraras;Kalimantan Barat;Sekadau;Sekadau Hilir;Seraras
Taman Seren Selimbau;Kalimantan Barat;Bengkayang;Lumar;Seren Selimbau
Taman Serengkah Kanan;Kalimantan Barat;Ketapang;Tumbang Titi;Serengkah Kanan
Taman Serengkah;Kalimantan Barat;Ketapang;Tumbang Titi;Serengkah
Taman Seret Ayon;Kalimantan Barat;Sambas;Tebas;Seret Ayon
Taman Seriang;Kalimantan Barat;Kapuas Hulu;Badau;Seriang
Taman Serimbu;Kalimantan Barat;Landak;Air Besar;Serimbu
Taman Serindang;Kalimantan Barat;Sambas;Tebas;Serindang
Taman Serindu;Kalimantan Barat;Bengkayang;Monterado;Serindu
Taman Seruat Dua;Kalimantan Barat;Kubu Raya;Kubu;Seruat Dua
Taman Seruat Satu;Kalimantan Barat;Kubu Raya;Teluk Pakedai;Seruat Satu
Taman Seruat Tiga;Kalimantan Barat;Kubu Raya;Kubu;Seruat Tiga
Taman Serumpun Buluh;Kalimantan Barat;Sambas;Tebas;Serumpun Buluh
Taman Serumpun;Kalimantan Barat;Sambas;Salatiga;Serumpun
Taman Serunai;Kalimantan Barat;Sambas;Salatiga;Serunai
Taman Sesulu;Kalimantan Timur;Penajam Paser Utara;Waru;Sesulu
Taman Setalik;Kalimantan Barat;Sambas;Sejangkung;Setalik
Taman Setanduk;Kalimantan Barat;Bengkayang;Capkala;Setanduk
Taman Sentangau Jaya;Kalimantan Barat;Bengkayang;Seluas;Sentangau Jaya
Taman Setawar;Kalimantan Barat;Sekadau;Sekadau Hulu;Setawar
Taman Setia Budi;Kalimantan Barat;Bengkayang;Bengkayang;Setia Budi
Taman Setia Jaya;Kalimantan Barat;Bengkayang;Teriak;Setia Jaya
Taman Setulang;Kalimantan Barat;Kapuas Hulu;Batang Lupar;Setulang
Taman Setunggul;Kalimantan Barat;Kapuas Hulu;Silat Hilir;Setunggul
Taman Setungkup;Kalimantan Barat;Sintang;Ketungau Hilir;Setungkup
Taman Setuntung;Kalimantan Barat;Sekadau;Belitang;Setuntung
Taman Siaga;Kalimantan Barat;Bengkayang;Monterado;Siaga
Taman Siantau Raya;Kalimantan Barat;Ketapang;Nanga Tayap;Siantau Raya
Taman Sibau Hilir;Kalimantan Barat;Kapuas Hulu;Putussibau Utara;Sibau Hilir
Taman Sibau Hulu;Kalimantan Barat;Kapuas Hulu;Putussibau Utara;Sibau Hulu
Taman Sibung;Kalimantan Tengah;Barito Timur;Raren Batuah;Sibung
Taman Sidahari;Kalimantan Barat;Ketapang;Jelai Hulu;Sidahari
Taman Sidai;Kalimantan Barat;Bengkayang;Ledo;Sidai
Taman Sidan;Kalimantan Barat;Landak;Menyuke;Sidan
Taman Sidas;Kalimantan Barat;Landak;Sengah Temila;Sidas
Taman Siding;Kalimantan Barat;Bengkayang;Siding;Siding
Taman Sidomukti;Kalimantan Timur;Kutai Kartanegara;Muara Kaman;Sidomukti
Taman Sidomulyo;Kalimantan Timur;Kutai Kartanegara;Anggana;Sidomulyo
Taman Sidomulyo;Kalimantan Timur;Kutai Timur;Kombeng;Sidomulyo
Taman Sidomulyo;Kalimantan Barat;Melawi;Nanga Pinoh;Sidomulyo
Taman Sidomulyo;Kalimantan Timur;Kutai Kartanegara;Tabang;Sidomulyo
Taman Sidorejo;Kalimantan Timur;Penajam Paser Utara;Penajam;Sidorejo
Taman Sigi;Kalimantan Tengah;Pulang Pisau;Kahayan Tengah;Sigi
Taman Sijang;Kalimantan Barat;Sambas;Galing;Sijang
Taman Sijau;Kalimantan Barat;Melawi;Sokan;Sijau
Taman Sika Makmur;Kalimantan Timur;Kutai Timur;Long Mesangat;Sika Makmur
Taman Sikan;Kalimantan Tengah;Barito Utara;Montallat;Sikan
Taman Sikontan;Kalimantan Selatan;Balangan;Awayan;Sikontan
Taman Sikui;Kalimantan Tengah;Barito Utara;Teweh Baru;Sikui
Taman Siling Permai;Kalimantan Barat;Melawi;Sayan;Siling Permai
Taman Simba Raya;Kalimantan Barat;Sintang;Binjai Hulu;Simba Raya
